word	expected_root	category	note
علّم	علم	derived_verb	form II
درّس	درس	derived_verb	form II
كبّر	كبر	derived_verb	form II
صغّر	صغر	derived_verb	form II
قاتل	قتل	derived_verb	form III
شارك	شرك	derived_verb	form III
جاهد	جهد	derived_verb	form III
خاصم	خصم	derived_verb	form III
تقاتل	قتل	derived_verb	form VI
تشارك	شرك	derived_verb	form VI
تجاهد	جهد	derived_verb	form VI
تخاصم	خصم	derived_verb	form VI
استخرج	خرج	derived_verb	form X
استعلم	علم	derived_verb	form X
استعمل	عمل	derived_verb	form X
استقبل	قبل	derived_verb	form X
انكسر	كسر	derived_verb	form VII
انفتح	فتح	derived_verb	form VII
اجتمع	جمع	derived_verb	form VIII
اقترب	قرب	derived_verb	form VIII
