# form	root	pos_cat	pos	language
مدارس	درس	اسم	اسم	فصحى حديثة
رجال	رجل	اسم	اسم	فصحى حديثة
قلوب	قلب	اسم	اسم	فصحى حديثة
أبواب	باب	اسم	اسم	فصحى حديثة
أقلام	قلم	اسم	اسم	فصحى حديثة
بحور	بحر	اسم	اسم	فصحى حديثة
بيوت	بيت	اسم	اسم	فصحى حديثة
أسماء	اسم	اسم	اسم	فصحى
اسماء	اسم	اسم	اسم	فصحى
عباسي	عباس	اسم	نسبة	فصحى
عباسية	عباس	اسم	نسبة	فصحى
العباسي	عباس	اسم	نسبة	فصحى
أمراء	أمر	اسم	اسم	فصحى
امراء	أمر	اسم	اسم	فصحى
فقراء	فقر	اسم	اسم	فصحى
اشياء	شيء	اسم	اسم	فصحى
أشياء	شيء	اسم	اسم	فصحى
ملوك	ملك	اسم	اسم	فصحى
أفئدة	فؤد	اسم	اسم	فصحى
افئدة	فؤد	اسم	اسم	فصحى
رام	رمي	فعل	فعل	فصحى
آمن	أمن	فعل	فعل	فصحى
امن	أمن	فعل	فعل	فصحى
المصري	مصر	اسم	نسبة	فصحى
مصري	مصر	اسم	نسبة	فصحى
مصرية	مصر	اسم	نسبة	فصحى
أندلسي	اندلس	اسم	نسبة	فصحى
اندلسي	اندلس	اسم	نسبة	فصحى
أندلسية	اندلس	اسم	نسبة	فصحى
اندلسية	اندلس	اسم	نسبة	فصحى
مكي	مك	اسم	نسبة	فصحى
مكية	مك	اسم	نسبة	فصحى
المكي	مك	اسم	نسبة	فصحى
قرأوا	قرأ	فعل	فعل	فصحى
يقرا	قرأ	فعل	فعل	فصحى
يقرأ	قرأ	فعل	فعل	فصحى
يبدأ	بدأ	فعل	فعل	فصحى
يبدا	بدأ	فعل	فعل	فصحى
يأخذ	أخذ	فعل	فعل	فصحى
ياخذ	أخذ	فعل	فعل	فصحى
شهور	شهر	اسم	جمع تكسير	فصحى
باع	بيع	فعل	فعل	فصحى
قارئ	قرأ	اسم	اسم فاعل	فصحى
قاري	قرأ	اسم	اسم فاعل	فصحى
حمي	حمي	فعل	فعل	فصحى
مساءلة	سأل	اسم	مصدر	فصحى
مسائلة	سأل	اسم	مصدر	فصحى
تساؤل	سأل	اسم	مصدر	فصحى
تسائل	سأل	فعل	فعل	فصحى
سؤال	سأل	اسم	مصدر	فصحى
أسئلة	سأل	اسم	جمع	فصحى
اسئلة	سأل	اسم	جمع	فصحى
سائل	سأل	اسم	اسم فاعل	فصحى
مسؤول	سأل	اسم	اسم مفعول	فصحى
مسئول	سأل	اسم	اسم مفعول	فصحى
مسؤولية	سأل	اسم	مصدر صناعي	فصحى
مسئولية	سأل	اسم	مصدر صناعي	فصحى

مبادئ	بدأ	اسم	جمع	فصحى
مبدأ	بدأ	اسم	اسم	فصحى
مبدئ	بدأ	اسم	اسم	فصحى
بدء	بدأ	اسم	مصدر	فصحى
بداية	بدأ	اسم	مصدر	فصحى
ابتداء	بدأ	اسم	مصدر	فصحى
ابتدأ	بدأ	فعل	فعل	فصحى
يبدأ	بدأ	فعل	فعل	فصحى
يبدا	بدأ	فعل	فعل	فصحى
